area,perimeter,compactness,mean,stddev,bbox,convex_area,eccentricity,centroid,equv_diam,euler_number,solidity,contrast,dissimilarity,homogeneity,energy,correlation,simple_entropy,class
191016,43705,0.228802823,12.11292614,54.24088112,2359040,1811438,0.370440201,"(816.0422268291661, 1299.48829417431)",493.1623717,-87,0.105449924,352.9480055,1.384109825,0.994572202,0.95082919,0.940040256,0.191092301,0
281566,67741,0.240586577,16.03030023,61.89310166,2560730,1990351,0.315019439,"(824.57478175632, 1374.575168876924)",598.7495016,-70,0.1414655,523.0177779,2.051050109,0.99195679,0.93496248,0.931758962,0.234776051,0
238597,54041,0.226494885,15.1301872,60.24346579,2469540,1909030,0.500455532,"(881.2833396899374, 1183.2095374208393)",551.1725099,-63,0.124983369,439.4298112,1.723254162,0.993242244,0.9389453,0.939483409,0.22513124,0
224133,56469,0.251944158,12.760487,55.59760926,2635750,2038839,0.344591456,"(845.7628015508649, 1352.9491462658332)",534.2050158,-82,0.109931682,413.7434871,1.622523479,0.993637261,0.947928724,0.933099373,0.198636317,0
256068,55796,0.217895247,16.23807833,62.26583964,2464416,1902312,0.373659793,"(850.0642485589765, 1274.2437907118422)",570.9955374,-75,0.134608834,471.0718636,1.847340641,0.992755638,0.934620444,0.939271414,0.236971954,0
282839,65809,0.232673005,17.93571175,65.20672312,2470860,1917696,0.226406831,"(814.0381489115716, 1191.0706515013842)",600.1014911,-113,0.147488966,532.6735688,2.088915956,0.991808299,0.927926879,0.93738427,0.25450753,0
208500,47388,0.227280576,11.87045878,53.72205504,2543961,1953825,0.424766112,"(849.7053381294965, 1340.3343788968825)",515.2382411,-73,0.106713754,337.7859457,1.324650768,0.994805371,0.951857137,0.941501202,0.188231283,0
220031,54647,0.248360458,12.52694924,55.11304382,2656899,2033519,0.369840262,"(854.5523176279706, 1344.7734682840146)",529.2940301,-81,0.108202087,397.2448701,1.55782302,0.993890984,0.94893099,0.934632695,0.195931618,0
264180,63419,0.240059808,15.04046907,60.07581796,2647065,2038133,0.234247733,"(873.3495646907412, 1292.4235786206375)",579.9693293,-81,0.129618626,450.0811101,1.765023961,0.993078444,0.93919084,0.937668967,0.224157865,0
238697,53041,0.222210585,13.5896542,57.27724783,2674854,2038085,0.509808691,"(877.9737030628788, 1194.1805133705075)",551.2880006,-78,0.117118275,370.9865078,1.45484905,0.994294797,0.945190575,0.94347954,0.208098748,0
287382,57619,0.200496204,16.36142056,62.48572765,2656851,2069934,0.383694189,"(870.6464218357447, 1257.468160845147)",604.9017497,-59,0.138836311,423.0675294,1.659088351,0.993493871,0.934559629,0.945842084,0.238270221,0
200120,47509,0.237402558,11.39336313,52.68300365,2569584,1938013,0.494219754,"(839.9193683789726, 1239.8040225864481)",504.7778697,-73,0.103260401,320.9097195,1.258469488,0.995064901,0.953777041,0.942210082,0.182541884,0
262992,62385,0.237212539,14.97283308,59.94903422,2632486,2059186,0.439966778,"(893.0743178499727, 1353.693515392103)",578.6638181,-127,0.127716486,459.9279959,1.8036392,0.992927014,0.939360591,0.936035599,0.22342259,0
276894,66508,0.240192998,15.76431086,61.41160943,2626000,2057807,0.27792729,"(872.37502798905, 1299.8981451385728)",593.7612235,-45,0.134557808,498.9379302,1.956619334,0.992327101,0.936133546,0.933876014,0.231948474,0
236954,58857,0.248389983,13.49042058,57.07946916,2676487,2008705,0.464190025,"(855.6014711716198, 1208.4300919165746)",549.2715204,-71,0.117963564,390.4188577,1.531054344,0.993995958,0.945402435,0.940106083,0.206977581,0
253284,63346,0.250098703,14.42013085,58.89985733,2638988,2060574,0.455479636,"(909.0198749230113, 1255.7530874433442)",567.8830908,-114,0.122919148,467.654461,1.833939063,0.992808193,0.941338264,0.932623404,0.217365942,0
227155,55384,0.243815897,12.93253748,55.95128714,2647080,2042430,0.421397876,"(894.3429112280161, 1222.3406616627412)",537.7943183,-158,0.11121801,413.4820653,1.621498295,0.993641281,0.947290329,0.9339842,0.200617601,0
272193,68929,0.253235756,15.49667044,60.92211559,2650383,2034874,0.304492051,"(873.553206731988, 1275.4198675204725)",588.6993217,-138,0.133764056,492.8961831,1.932926208,0.992420014,0.937165901,0.933622825,0.22908441,0
237005,57371,0.242066623,15.02923346,60.05478061,2507430,1886817,0.461878635,"(810.7133140651041, 1214.0401594903062)",549.3306275,-61,0.125611016,457.9362058,1.795828258,0.992957645,0.939167712,0.936537881,0.22403581,0
230690,55499,0.240578265,14.62877942,59.2987147,2386736,1844242,0.43506264,"(832.8204473535914, 1249.2173566257748)",541.9627576,-93,0.125086621,450.3007004,1.765885099,0.993075067,0.940706264,0.935994616,0.219662544,0
235512,60084,0.255120758,13.40832369,56.91519478,2663408,2017295,0.237149805,"(823.6827847413296, 1254.149045483882)",547.5976549,-123,0.116746435,448.7740014,1.759898045,0.993098545,0.945238642,0.930755871,0.206047746,0
255393,54529,0.213510159,14.54020182,59.12980632,2635740,2065741,0.463399273,"(881.2190780483412, 1225.1283042213372)",570.2424634,-62,0.123632634,394.3111371,1.546318185,0.9939361,0.941485867,0.943631213,0.218689089,0
206951,52097,0.251735918,11.7822701,53.53183153,2510400,1974741,0.346796112,"(832.6501925576586, 1239.5058975312998)",513.3207545,-121,0.10479906,388.5308118,1.523650242,0.994024993,0.951781526,0.932234008,0.18718566,0
258927,66382,0.256373418,14.74140183,59.51259143,2598463,2039126,0.405960065,"(868.6251105523951, 1339.4186971617482)",574.1742728,-159,0.126979402,490.4562468,1.923357831,0.992457536,0.939968014,0.930785792,0.220897026,0
225823,55958,0.24779584,12.85670318,55.79573904,2512896,1972819,0.437027276,"(911.3695372039164, 1398.2819597649486)",536.2152308,-70,0.114467166,405.20371,1.589034157,0.993768589,0.947638899,0.934944703,0.199745487,0
291851,68006,0.233016162,16.6158526,62.9361252,2651982,2076638,0.342542048,"(876.4576033661012, 1354.878383147565)",609.5869375,-107,0.140540142,477.4142062,1.872212573,0.992658103,0.933187787,0.939756605,0.240936026,0
224902,53053,0.235893856,12.80426821,55.68787219,2572672,1988018,0.456717545,"(891.5903771420441, 1283.1404834105522)",535.1206594,-69,0.113128754,400.1495562,1.569213946,0.993846314,0.947874593,0.935507031,0.199141392,0
245395,63519,0.258843905,13.97098913,58.0294209,2508327,2007519,0.366392833,"(900.6111534464842, 1366.5181075409034)",558.9692461,-89,0.122237946,501.3197728,1.965959893,0.992290472,0.942729676,0.925590138,0.212379417,0
267511,66429,0.248322499,15.23011175,60.42948115,2611407,2010966,0.390551747,"(863.8456885885066, 1351.3950267465636)",583.6142423,-175,0.133026118,487.6677481,1.912422542,0.992500419,0.938188931,0.933251829,0.226212738,0
232244,52515,0.226119943,13.22226777,56.54069257,2587216,1977381,0.553982244,"(883.8915149584058, 1228.1399519470901)",543.7851091,-59,0.117450304,348.3299563,1.365999828,0.99464322,0.946736059,0.945539683,0.203932743,0
196341,50323,0.256304083,11.17821462,52.20624719,2544288,1928307,0.523694943,"(854.950810070235, 1280.4311121976561)",499.9891253,-58,0.101820405,360.5877316,1.414069536,0.994454715,0.954266971,0.933873414,0.179949583,0
252893,55862,0.22089184,16.03674158,61.90470113,2451956,1928091,0.224772342,"(868.969469301246, 1213.3590767636906)",567.4445948,-48,0.131162378,470.5218484,1.845183719,0.992764097,0.93536273,0.93863255,0.234844295,0
274285,71271,0.259842864,17.39327567,64.28654025,2526468,1963971,0.312380795,"(831.1652259511093, 1262.912284667408)",590.9572815,-39,0.139658376,592.9811206,2.325416159,0.990880861,0.929410092,0.928285433,0.248981155,0
226981,55159,0.24301153,14.39358005,58.84885527,2385138,1861143,0.424076212,"(847.592648723902, 1275.2004617126543)",537.5883045,-58,0.121957851,419.4351401,1.644843687,0.993549732,0.941823723,0.939466883,0.2170728,0
245848,60066,0.244321695,15.58999594,61.09337928,2430432,1910737,0.404810989,"(826.4565951319514, 1291.2076445608668)",559.4849378,-68,0.128666583,465.3775883,1.82501015,0.992843208,0.937044178,0.937680729,0.230085277,0
259813,63647,0.244972345,14.79184416,59.60806663,2582449,1974620,0.278443874,"(833.8201475676736, 1302.290316496865)",575.1557927,-117,0.131576202,456.1228572,1.788717087,0.992985531,0.940058648,0.935837023,0.221448775,0
261620,59335,0.22679841,16.59014813,62.89081617,2523302,1945730,0.21805578,"(820.4056073694671, 1265.3429592538796)",577.1524319,-35,0.134458532,478.319123,1.875761267,0.992644187,0.933273204,0.939556547,0.240667454,0
226480,57114,0.252181208,12.89410794,55.87252907,2498980,1946617,0.541586527,"(853.5260022960085, 1268.798865241964)",536.9946853,-97,0.116345434,395.995855,1.552924922,0.993910192,0.947573484,0.936597654,0.200175882,0
214259,44127,0.205951675,12.19833395,54.42219957,2456064,1892639,0.522501576,"(829.3134057379153, 1329.0099179030985)",522.3054964,-30,0.11320648,300.6640575,1.179074735,0.995376249,0.950929881,0.949261202,0.192095301,0
267294,65583,0.245359043,15.21775736,60.40652273,2658488,2061505,0.113874823,"(862.3934506573287, 1312.9379035818238)",583.3774857,-150,0.129659642,491.7633555,1.928483747,0.992437435,0.938201359,0.932640082,0.226079173,0
293309,69797,0.237964058,16.69886041,63.08214855,2611375,2058385,0.299773194,"(870.5166428578734, 1317.1504113409408)",611.1076972,-77,0.142494723,531.5866019,2.084653341,0.991825015,0.932444691,0.933230944,0.241802191,0
285373,68351,0.2395146,16.24704285,62.28185551,2661790,2074534,0.36992713,"(886.790313028913, 1346.5814915917063)",602.7836997,-127,0.13756005,499.6350548,1.959353156,0.99231638,0.934357278,0.935621087,0.237066444,0
280136,61628,0.219993146,15.94888653,61.74624753,2640609,2076192,0.281030458,"(859.5204936173858, 1256.0007603449753)",597.2271202,-62,0.134927791,439.9147088,1.725155721,0.993234787,0.935934066,0.94232854,0.233912564,0
220499,56873,0.257928607,12.55359372,55.16859328,2559375,1912011,0.433125431,"(873.0446260527259, 1369.2763413893033)",529.8566281,-99,0.115323081,398.5810257,1.563062846,0.993870436,0.948820974,0.934544838,0.1962411,0
241644,61828,0.255863998,13.75743474,57.60971139,2630763,2040848,0.432344245,"(841.6858808826207, 1259.3604310473258)",554.6807159,-241,0.118403722,466.173071,1.82812969,0.992830974,0.943803487,0.929795045,0.209987558,0
207946,50437,0.242548546,13.18651075,56.46836439,2275416,1830051,0.487598327,"(766.3636328662249, 1154.4901416713953)",514.5532726,-133,0.113628527,400.2493149,1.569605156,0.99384478,0.946451021,0.937263035,0.203525037,0
261352,68086,0.260514555,14.87946352,59.7734453,2674858,2070081,0.314020486,"(888.2093077535278, 1359.146381125838)",576.8567426,-211,0.126252065,519.9678575,2.039089637,0.992003693,0.939220791,0.927260095,0.222405472,0
229901,55006,0.239259507,13.08887456,56.27027967,2577588,2026283,0.267954096,"(852.2736482224958, 1373.1750710088256)",541.0351602,-125,0.113459472,391.4645447,1.535155077,0.993979877,0.946885395,0.938206076,0.202409731,0
158500,43763,0.276107256,17.86841631,65.09351624,1406515,1100766,0.422937281,"(605.6266246056782, 855.982309148265)",449.2309738,-26,0.143990639,614.489713,2.409763581,0.990550092,0.927496523,0.927524403,0.25382572,0
298743,74917,0.250774077,17.00823246,63.62247485,2676447,2075519,0.263709418,"(866.7679343114315, 1369.99394797535)",616.742573,-58,0.143936529,542.7986902,2.128622314,0.99165259,0.931223456,0.932975733,0.245015218,0
269290,68615,0.254799658,15.33139494,60.61727509,2616234,2054466,0.467095597,"(880.9767685394927, 1256.5559285528611)",585.5516006,-159,0.131075423,522.9015904,2.050594472,0.991958577,0.937531672,0.928872051,0.22730615,0
256213,66095,0.257968956,16.24727323,62.28226704,2510634,1965024,0.266295613,"(817.7267742073977, 1210.952016486283)",571.1571793,-40,0.130386703,531.7676614,2.085363378,0.99182223,0.934094961,0.931482926,0.237068872,0
263752,66927,0.253749735,15.01610189,60.0301813,2655160,2070781,0.43972165,"(888.6662963693167, 1353.6142436834602)",579.4993325,-149,0.12736837,493.3028392,1.934520938,0.99241376,0.938931855,0.931579347,0.223893114,0
255946,62100,0.242629305,16.23034192,62.25201355,2507472,1941556,0.350899229,"(835.855434349433, 1175.7016440968016)",570.8594998,-87,0.131825196,512.3230055,2.009109825,0.992121259,0.934314481,0.933924151,0.236890393,0
321864,74083,0.230168643,20.4104099,69.19587916,2524872,1954246,0.353862397,"(839.1088037183407, 1271.046528968757)",640.1640203,-76,0.164699838,605.9226553,2.376167276,0.99068184,0.918392814,0.936749235,0.278869065,0
221269,51585,0.233132522,14.03136414,58.14738753,2442440,1884449,0.299365361,"(749.8534815089325, 1280.4394198916252)",530.7809726,-77,0.117418407,415.876218,1.63088713,0.993604463,0.943191965,0.93852371,0.213053167,0
280186,70511,0.251657827,15.95173316,61.75138999,2655270,2079233,0.511936308,"(869.1461422055349, 1268.3651895526543)",597.2804158,-104,0.134754498,529.8147433,2.077704876,0.991852263,0.935195759,0.93055449,0.233942786,0
238316,58606,0.245917186,13.56796286,57.23408872,2627640,2009607,0.243166177,"(879.6837895902919, 1248.0499253092532)",550.8478514,-64,0.118588361,427.8602615,1.677883378,0.993420166,0.944813942,0.934716377,0.20785393,0
162808,44919,0.275901676,18.35407648,65.90460818,1416091,1095806,0.458554766,"(642.3580598005012, 895.9265330941969)",455.2950514,-58,0.148573744,658.266784,2.581438369,0.989876868,0.925375733,0.924260306,0.258722483,0
278752,63098,0.226358914,15.87009174,61.60368155,2559639,2045332,0.295820839,"(852.7600985822523, 1336.1390913787166)",595.7500059,-57,0.136286921,469.4844132,1.841115346,0.992780051,0.935983576,0.938166848,0.233075199,0
